ticker,industry,name,period,unit,value,group
HAG,Thực phẩm và đồ uống,Hàng tồn kho,Q1-2025,Tỷ VND,791.54,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Hàng tồn kho,Q1-2025,Tỷ VND,5607.67,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Hàng tồn kho,Q1-2025,Tỷ VND,2237.96,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Hàng tồn kho,Q1-2025,Tỷ VND,371.02,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Hàng tồn kho,Q4-2024,Tỷ VND,694.46,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Hàng tồn kho,Q4-2024,Tỷ VND,5516.78,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Hàng tồn kho,Q4-2024,Tỷ VND,2156.08,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Hàng tồn kho,Q4-2024,Tỷ VND,259.5,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Hàng tồn kho,Q3-2024,Tỷ VND,892.0,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Hàng tồn kho,Q3-2024,Tỷ VND,5452.64,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Hàng tồn kho,Q3-2024,Tỷ VND,2068.81,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Hàng tồn kho,Q3-2024,Tỷ VND,249.99,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Hàng tồn kho,Q2-2024,Tỷ VND,767.52,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Hàng tồn kho,Q2-2024,Tỷ VND,5827.22,CĐKT - Tài sản
BAF,Thực phẩm và đồ uống,Hàng tồn kho,Q2-2024,Tỷ VND,1944.65,CĐKT - Tài sản
VLC,Thực phẩm và đồ uống,Hàng tồn kho,Q2-2024,Tỷ VND,302.54,CĐKT - Tài sản
HAG,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2025,Tỷ VND,15101.9,CĐKT - Tài sản
DBC,Thực phẩm và đồ uống,Tài sản dài hạn,Q2-2025,Tỷ VND,6193.75,CĐKT - Tài sản
