,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,type
                - Nguyên giá,5946.929654,6031.445271,5758.380238,6266.133543,5910.495247,8002.891607,7678.966061,51051.242343,52002.232997,54439.419528,54177.548964,6789.629164,6251.200148,8032.465332,7739.446936,7511.49992,5990.257244,5716.034788,5982.014084,6236.727728,BalanceSheet
                - Giá trị hao mòn lũy kế,-2858.640483,-3129.367654,-3230.108374,-3442.994065,-3350.80885,-3160.101733,-3406.09124,-18119.845494,-21641.748231,-22815.783095,-24915.388622,-3878.313753,-3587.478607,-4013.832181,-4197.599404,-4386.536239,-3607.403617,-3673.326424,-4031.616845,-4406.889721,BalanceSheet
            3. Tài sản cố định vô hình,1101276.533243,1095369.004232,1084776.534257,1064378.27083,1080083.677247,1133060.057847,1116739.928531,1086053.755844,1182193.133366,1287060.189954,1241552.636223,1196343.189731,1182003.245562,1257097.141433,1512918.754652,1514388.060284,1540006.581949,2039520.516122,1978640.933934,1936116.53463,BalanceSheet
                - Nguyên giá,1997678.395625,2036967.631495,2068303.271666,2088341.474878,2146287.701198,2249106.647011,2222310.281274,2239012.640597,2379486.390828,2547883.324785,2562391.924094,2575691.86374,2469668.694327,2595586.732247,2927026.185822,2998230.953161,3072611.297376,3656302.027788,3676618.000169,3690461.41546,BalanceSheet
                - Giá trị hao mòn lũy kế,-896401.862382,-941598.627263,-983526.737409,-1023963.204048,-1066204.023951,-1116046.589164,-1105570.352743,-1152958.884753,-1197293.257462,-1260823.134831,-1320839.287871,-1379348.674009,-1287665.448765,-1338489.590814,-1414107.43117,-1483842.892877,-1532604.715427,-1616781.511666,-1697977.066235,-1754344.88083,BalanceSheet
        III. Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            - Nguyên giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            - Giá trị hao mòn lũy kế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
        IV. Tài sản dở dang dài hạn,2619085.803954,2373393.296565,2519515.958397,2750511.035739,2775668.094067,1292046.691473,1191129.843047,1398360.43235,955409.408475,1062188.521735,1240583.037748,1758055.535618,1328956.674102,1315270.136003,1429362.563324,1475304.89055,1474733.361173,2559818.072744,2812693.461694,1668840.462857,BalanceSheet
"            1. Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            2. chi phí xây dựng cơ bản dở dang,2619085.803954,2373393.296565,2519515.958397,2750511.035739,2775668.094067,1292046.691473,1191129.843047,1398360.43235,955409.408475,1062188.521735,1240583.037748,1758055.535618,1328956.674102,1315270.136003,1429362.563324,1475304.89055,1474733.361173,2559818.072744,2812693.461694,1668840.462857,BalanceSheet
        V. Các khoản đầu tư tài chính dài hạn,2529556.438447,2605504.854052,2804530.74572,2649059.50477,2754826.446669,3100458.973524,3311117.191071,3130048.656693,3360604.292956,3251688.307364,3257209.895051,3045169.826409,3223296.628954,3367402.312269,3415559.155234,3095902.850581,3214141.46108,3319014.817651,3526503.466795,3814048.381835,BalanceSheet
            1. Đầu tư vào công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
"            2. Đầu tư vào công ty liên kết, liên doanh",1910490.057651,1980817.143237,2112400.428879,1968017.053885,1666577.112307,2016470.719587,2226875.31367,2010791.791855,2110592.135654,2206534.38727,2251512.534598,1962107.657781,2012251.531833,2140003.69032,2186084.508454,1964698.503482,2107973.08895,2282142.017143,2496646.180033,2749087.17492,BalanceSheet
            3. Đầu tư khác vào công cụ vốn,922165.806267,927787.136286,1202989.742312,1344680.826356,1797807.709833,1931006.629408,1965581.621372,1997596.608809,2261588.722773,2386837.295565,2364550.933343,2432093.749312,2562675.23671,2830355.013038,2949336.301696,2957192.860629,3127281.986657,3393737.969842,3422494.535673,3489039.064306,BalanceSheet
            4. Dự phòng giảm giá đầu tư tài chính dài hạn,-303299.425471,-303299.425471,-511059.425471,-663838.375471,-709758.375471,-847218.375471,-881583.375471,-881583.375471,-1024083.375471,-1351883.375471,-1379053.57289,-1369231.580684,-1371830.139589,-1623156.391089,-1740061.654916,-1846188.51353,-2021313.614527,-2357065.169334,-2392837.248911,-2424277.857391,BalanceSheet
            5. Đầu tư nắm giữ đến ngày đáo hạn,200.0,200.0,200.0,200.0,200.0,200.0,243.6315,3243.6315,12506.81,10200.0,20200.0,20200.0,20200.0,20200.0,20200.0,20200.0,200.0,200.0,200.0,200.0,BalanceSheet
        VI. Tổng tài sản dài hạn khác,2318332.539037,2401286.855089,2402158.614704,2830981.956872,2939331.173297,3154339.268169,3276639.548905,3358153.528111,3536220.648006,3741656.43396,3796796.888801,3808675.202975,3773875.840896,3758630.318649,3755000.920121,3906790.511385,4066786.442395,4388186.64587,4534789.819867,4952329.859584,BalanceSheet
            1. Chi phí trả trước dài hạn,2283037.199946,2266063.078923,2285753.665693,2723167.857012,2819282.135701,2972696.947589,3041553.78287,3125055.583508,3264803.928105,3488252.134893,3516501.185403,3492345.73161,3426793.863558,3389945.901107,3291841.329838,3317231.255111,3447179.472476,3815166.554012,3785638.25332,4043305.734364,BalanceSheet
            2. Tài sản Thuế thu nhập hoãn lại,35295.339091,135223.776166,116404.949011,107814.09986,120049.037596,181642.32058,235085.766035,233097.944603,271416.719901,253404.299067,280295.703398,316329.471365,347081.977338,368684.417542,463159.590283,589559.256274,619606.969919,573020.091858,749151.566547,909024.12522,BalanceSheet
            3. Tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
        VII. Lợi thế thương mại,206724.143763,200034.225027,223327.627847,496238.868858,508002.558873,466929.099458,451674.038727,437203.651887,422574.249924,407944.847961,715362.979924,693010.132357,755457.584159,1283790.079129,1611723.437032,1479792.163477,1434724.678776,1097458.206678,1066102.117874,1043803.405489,BalanceSheet
TỔNG CỘNG TÀI SẢN,37757456.671158,41749437.163498,44474278.409818,46980501.050598,48244877.999621,53696643.591424,55601299.35362,56295551.150306,55127101.516155,51655408.644948,50741161.416448,60524394.513231,62112676.348644,60325276.051932,62024705.048429,65286245.628524,67581587.131382,72013238.235529,73997673.121789,81601597.008376,BalanceSheet
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,BalanceSheet
    A. Nợ phải trả,19576055.665489,23146723.671078,24743977.981996,26922972.857653,27920744.789189,32276466.94902,32641897.512034,32883878.002931,31071333.186539,26312427.899207,23679982.202458,31929066.630167,33707020.718946,30376921.097518,30297604.017265,32549802.380215,32217402.904957,36216611.816559,36101018.424847,41725134.585223,BalanceSheet
        I. Nợ ngắn hạn,18551811.881772,22382164.623421,22968032.691682,24989658.34791,25891181.819535,29811587.201351,30137625.429078,30416062.290247,28697860.823948,24534231.146586,23043504.756733,31286939.836444,33050415.339821,29667280.422306,29033182.945777,31353291.224627,30969636.903539,34780312.270522,33917117.422503,37683199.470884,BalanceSheet
            1. Vay và nợ thuê tài chính ngắn hạn,10256051.493688,12062410.19274,14804786.460957,15361627.338629,15943319.237854,17799441.187777,20476429.866972,19720103.85965,16248169.308008,10904344.845014,12043373.564413,19307278.156994,18937892.53147,13837894.474107,15984086.694338,16024050.830233,14167809.581083,14446238.451323,18320209.599285,20297311.111107,BalanceSheet
            2. Vay và nợ dài hạn đến hạn phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            3. Phải trả người bán ngắn hạn,2090063.65003,2858901.79127,2401469.243166,2897707.005266,2019211.729539,2865954.696781,2583192.225305,2490789.349094,2707442.895626,3206184.111365,2626774.696342,2650557.83997,2585707.569612,2603082.384726,3179670.522866,3214619.267192,3096588.816686,4423912.840298,3244393.302947,3048129.830899,BalanceSheet
            4. Người mua trả tiền trước,396225.538416,463125.962596,677215.3808,918425.150837,883273.527253,710658.541296,613378.448097,692341.801749,913352.865512,491097.603761,662235.154979,601240.983383,501875.085943,602100.022731,663830.151912,773964.458511,561493.915003,562066.755666,601277.867861,832680.973164,BalanceSheet
            5. Thuế và các khoản phải nộp nhà nước,544823.684764,638912.109901,464459.732344,583342.505961,557387.300743,518558.40136,602757.960142,657180.955846,781880.561029,671666.303957,643415.651157,810433.730049,1069087.225876,1433245.828828,958840.995271,1346405.732978,1674374.835631,2292659.239333,1121444.348802,1444374.187645,BalanceSheet
            6. Phải trả người lao động,1667238.090981,1999612.928141,1029861.069699,1547517.480131,2096418.296648,2917949.562129,1638761.384536,2315930.149433,2785519.774205,3187230.376093,1860796.729871,2508104.116971,3589458.007695,3761187.996351,2685858.614485,3918326.517458,4450898.103166,4267635.878722,3131535.196468,4948810.580669,BalanceSheet
            7. Chi phí phải trả ngắn hạn,793407.834611,779777.262789,888720.317812,808921.188341,884555.621719,834210.180258,992312.010535,958081.075234,1024689.935015,904602.037747,847818.189824,916361.897808,1164543.242031,882930.232561,934931.288233,1089742.264001,1331750.914463,1253394.342965,1333924.968064,1316015.133539,BalanceSheet
            8. Phải trả nội bộ ngắn hạn,81086.323539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            9. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0.0,64245.054184,58541.616669,80303.148269,87001.952153,89224.688468,81104.262587,78305.548918,72719.206996,78663.541041,63181.791091,83376.234795,92239.834804,78456.37554,71558.00053,80065.381119,73935.649016,92738.882375,101890.782709,146279.877893,BalanceSheet
            10. Doanh thu chưa thực hiện ngắn hạn,1928160.563279,1962051.57453,1660701.441418,1864518.601891,2236178.115087,2584339.17947,2046286.279076,2189183.093047,3037948.791488,3200401.361855,2484313.617981,2674269.541836,3359644.957311,3620205.460042,2436685.61016,2819029.249307,3609185.372381,4252957.254484,2690354.669032,2905363.929549,BalanceSheet
            11. Phải trả ngắn hạn khác,402819.217046,726345.174792,382430.360018,407999.670715,640711.514765,556701.160148,400867.711582,694418.338559,524031.475207,581315.702898,634283.296673,618182.713945,681220.123792,1007219.232845,741151.780407,836477.698929,867644.213813,916333.996623,1251531.665774,791618.953091,BalanceSheet
            12. Dự phòng phải trả ngắn hạn,121528.796721,206407.715175,201240.542132,174870.638003,215004.853907,112413.88056,147569.337746,114340.944901,106405.766046,252582.995783,335934.158523,327783.134798,287580.645751,379618.87987,283898.524781,171953.75269,68122.659088,438100.145127,469541.169378,445896.728018,BalanceSheet
            13. Quỹ khen thưởng phúc lợi,270406.688697,620374.857303,398606.526667,344425.619867,328119.669867,822135.723104,554965.9425,505387.173816,495700.244816,1056142.267072,841377.905879,789351.485895,781166.115536,1461339.534705,1092670.762794,1078656.072209,1067832.843209,1834274.483606,1651013.852183,1506718.16531,BalanceSheet
            14. Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            15. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
        II. Nợ dài hạn,1024243.783717,764559.047657,1775945.290314,1933314.509743,2029562.969654,2464879.747669,2504272.082956,2467815.712684,2373472.362591,1778196.752621,636477.445725,642126.793723,656605.379125,709640.675212,1264421.071488,1196511.155588,1247766.001418,1436299.546037,2183901.002344,4041935.114339,BalanceSheet
            1. Phải trả người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            2. Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            3. Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            4. Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            5. Phải trả dài hạn khác,143523.188085,38492.884032,39744.054003,51433.459343,50749.460183,34908.209574,35656.814613,33871.58115,29984.100889,27863.907732,28780.542089,30884.265518,31144.281527,41914.135058,186678.090522,194225.709333,191578.670665,183788.442785,174873.393589,146036.731316,BalanceSheet
            6. Vay và nợ thuê tài chính dài hạn,753066.378324,677796.913413,1674335.919096,1800034.282871,1818552.251255,2296308.494046,2228486.463502,2142433.707042,2082516.102387,1477830.33399,312845.373321,214538.478651,172070.230363,208074.996962,525148.987126,478494.331122,478259.485405,501115.537075,987681.080191,2739611.909827,BalanceSheet
            7. Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            8. Thuế thu nhập hoãn lại phải trả,8227.915038,872.095321,5940.026922,4557.313213,50255.735224,87366.215294,120728.665376,139922.402269,148132.237634,154667.513616,174306.692388,243810.50755,282491.02562,257214.627286,330205.688036,281846.591212,281716.928073,356994.720571,569727.369002,646538.868114,BalanceSheet
            9. Dự phòng trợ cấp mất việc làm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BalanceSheet
            10. Dự phòng phải trả dài hạn,7240.953255,6080.503078,5416.991533,5282.329938,4728.004968,5230.766819,5139.928575,4589.741788,2543.860378,2763.464633,2132.345207,20024.109425,36154.179269,69317.780976,96696.696624,112645.919318,159682.175736,262864.215119,302827.405368,355154.902907,BalanceSheet
            11. Doanh thu chưa thực hiện dài hạn,111993.252732,41124.55553,50316.202477,71815.028095,105085.421741,40873.965653,114068.114607,146806.184152,110103.96502,114879.436367,118220.396437,132677.336296,134553.566063,132927.038647,125499.512897,129106.50832,136336.645256,131344.534204,148599.657911,154400.605892,BalanceSheet
            12. Quỹ phát triển khoa học và công nghệ,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,192.096283,BalanceSheet
    B. Nguồn vốn chủ sở hữu,18181401.005669,18602713.49242,19730300.427822,20057528.192945,20324133.210432,21420176.642404,22959401.841586,23411673.147375,24055768.329616,25342980.745741,27061179.21399,28595327.883064,28405655.629698,29948354.954414,31727101.031164,32736443.248309,35364184.226425,35796626.41897,37896654.696942,39876462.423153,BalanceSheet
