ticker,industry,name,period,unit,value
HAG,Thực phẩm và đồ uống,EPS cơ bản ,2025-07-29,Nghìn VND,1.08
DBC,Thực phẩm và đồ uống,EPS cơ bản ,2025-07-29,Nghìn VND,4.75
BAF,Thực phẩm và đồ uống,EPS cơ bản ,2025-07-29,Nghìn VND,1.92
VLC,Thực phẩm và đồ uống,EPS cơ bản ,2025-07-29,Nghìn VND,0.26
HAG,Thực phẩm và đồ uống,P/E cơ bản ,2025-07-29,Lần,12.27
DBC,Thực phẩm và đồ uống,P/E cơ bản ,2025-07-29,Lần,7.04
BAF,Thực phẩm và đồ uống,P/E cơ bản ,2025-07-29,Lần,18.12
VLC,Thực phẩm và đồ uống,P/E cơ bản ,2025-07-29,Lần,61.98
HAG,Thực phẩm và đồ uống,P/B ,2025-07-29,Lần,1.54
DBC,Thực phẩm và đồ uống,P/B ,2025-07-29,Lần,1.48
BAF,Thực phẩm và đồ uống,P/B ,2025-07-29,Lần,2.48
VLC,Thực phẩm và đồ uống,P/B ,2025-07-29,Lần,0.98
HAG,Thực phẩm và đồ uống,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,10.09
DBC,Thực phẩm và đồ uống,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,6.27
BAF,Thực phẩm và đồ uống,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,13.64
VLC,Thực phẩm và đồ uống,Giá trị doanh nghiệp/ EBITDA ,2025-07-29,Lần,46.99
HAG,Thực phẩm và đồ uống,Vốn hóa thị trường ,2025-07-29,Triệu VND,14063410.46
DBC,Thực phẩm và đồ uống,Vốn hóa thị trường ,2025-07-29,Triệu VND,11194682.9
BAF,Thực phẩm và đồ uống,Vốn hóa thị trường ,2025-07-29,Triệu VND,10579953.14
VLC,Thực phẩm và đồ uống,Vốn hóa thị trường ,2025-07-29,Triệu VND,3461913.33
BAF,Thực phẩm và đồ uống,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,13333.51
DBC,Thực phẩm và đồ uống,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,17416.220000000016
HAG,Thực phẩm và đồ uống,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,-17680.97
VLC,Thực phẩm và đồ uống,Giá trị ròng khối ngoại,2025-07-29,Triệu VND,-2.8099999999999996
BAF,Thực phẩm và đồ uống,Giá trị ròng tự doanh,2025-07-29,Triệu VND,22.82
DBC,Thực phẩm và đồ uống,Giá trị ròng tự doanh,2025-07-29,Triệu VND,7230.56
HAG,Thực phẩm và đồ uống,Giá trị ròng tự doanh,2025-07-29,Triệu VND,6570.709999999999
VLC,Thực phẩm và đồ uống,Giá trị ròng tự doanh,2025-07-29,Triệu VND,0.0
