ticker,industry,name,period,unit,value
VCG,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,17688520000000.0
HAG,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,8435360000000.001
IDC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7422050000000.0
SIP,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,11917350000000.0
KDC,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6299250000000.0
DIG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,15985760000000.0
PVI,Bảo hiểm,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,26187880000000.0
CEO,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4991250000000.0
FTS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,9580160000000.0
MML,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1752930000000.0
VTP,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4728460000000.0
VHC,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,8238450000000.001
CII,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,8549170000000.0
DHG,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4604000000000.0
OIL,Dầu khí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,35543080000000.0
PHP,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3094010000000.0
PVD,Dầu khí,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7782380000000.0
BSI,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,9761440000000.0
HSG,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,14472020000000.0
DBC,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7838140000000.0
BMP,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2596110000000.0
HDG,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3227670000000.0
VSH,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1099740000000.0
NTP,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4472880000000.0
VSC,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1811560000000.0
BWE,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,4473570000000.0
BAF,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3081020000000.0
CTR,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5421440000000.0
THD,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1713790000000.0
HAH,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1752840000000.0
DGW,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,7771700000000.0
PC1,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,8085980000000.0
CTS,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,8598350000000.0
VCR,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,294230000000.0
CMG,Công nghệ Thông tin,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3964440000000.0
PVT,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,6648000000000.0
DSE,Dịch vụ tài chính,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,8172040000000.0
PHR,Hóa chất,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2570450000000.0
CTD,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,24836700000000.0
IMP,Y tế,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1409540000000.0
KOS,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3325470000000.0
VCS,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5473450000000.0
HHS,Ô tô và phụ tùng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1555100000000.0
HNG,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2474460000000.0
HHV,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1282950000000.0
NKG,Tài nguyên Cơ bản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,10202370000000.0
DXS,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,14276270000000.0
ANV,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2585540000000.0
PAN,Thực phẩm và đồ uống,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,18283090000000.0
SZC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,3066830000000.0
TMS,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2025330000000.0
DHT,Bán lẻ,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,924860000000.0
SGP,Hàng & Dịch vụ Công nghiệp,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1634190000000.0
VGT,Hàng cá nhân & Gia dụng,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,9551570000000.0
HDC,Bất động sản,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,2320590000000.0
TDM,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,657460000000.0
HT1,Xây dựng và Vật liệu,I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,1904000000000.0
NT2,"Điện, nước & xăng dầu khí đốt",I. TÀI SẢN NGẮN HẠN,Q4-2024,VND,5773810000000.0
