date|ticker|open|high|low|close|volume|SMA_20|SMA_60|RSI_14|pct_change|diff|week_open|month_open|quarter_open|year_open|MFIBO_0382|MFIBO_0500|MFIBO_0618|QFIBO_0382|QFIBO_0500|QFIBO_0618|YFIBO_0382|YFIBO_0500|YFIBO_0618|month_prev_high|month_prev_low|quarter_prev_high|quarter_prev_low
2025-08-06|HPG|26.75|27.700000762939453|26.649999618530273|27.049999237060547|77262000.0|25.87249994277954|23.415972201029458|69.65818030179484|0.024621198027368063|0.6499996185302734|25.100000381469727|24.850000381469727|22.75|22.25|25.330999237060546|24.799999237060547|24.268999237060548|23.49739952850342|22.399999618530273|21.30259970855713|23.49739952850342|22.399999618530273|21.30259970855713|27.0|22.549999237060547|23.149999618530273|17.75
2025-08-05|HPG|25.450000762939453|27.049999237060547|25.450000762939453|26.399999618530273|215999104.0|25.757499980926514|23.328333314259847|65.24733465903167|0.043478277258538256|1.1000003814697266|25.100000381469727|24.850000381469727|22.75|22.25|25.330999237060546|24.799999237060547|24.268999237060548|23.49739952850342|22.399999618530273|21.30259970855713|23.49739952850342|22.399999618530273|21.30259970855713|27.0|22.549999237060547|23.149999618530273|17.75
2025-08-04|HPG|25.100000381469727|25.450000762939453|24.950000762939453|25.299999237060547|37058100.0|25.67250003814697|23.24666665395101|54.95782617662196|0.0059641996344108605|0.14999961853027344|25.100000381469727|24.850000381469727|22.75|22.25|25.300099708557127|24.774999618530273|24.24989952850342|23.4665|22.375|21.2835|23.4665|22.375|21.2835|27.0|22.549999237060547|23.149999618530273|17.75
2025-08-01|HPG|24.850000381469727|25.299999237060547|24.799999237060547|25.149999618530273|50798600.0|25.58750009536743|23.177777767181396|53.20340693008531|0.008015985950906135|0.1999988555908203|26.100000381469727|24.850000381469727|22.75|22.25|25.300099708557127|24.774999618530273|24.24989952850342|23.4665|22.375|21.2835|23.4665|22.375|21.2835|27.0|22.549999237060547|23.149999618530273|17.75
2025-07-31|HPG|25.450000762939453|25.600000381469727|24.75|24.950000762939453|85332496.0|25.49250011444092|23.11486110687256|50.83232600462783|-0.017716490643666316|-0.4499988555908203|26.100000381469727|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-30|HPG|25.600000381469727|25.75|25.100000381469727|25.399999618530273|50186000.0|25.40000009536743|23.055972194671632|56.85051402124842|0.001972356461860114|0.049999237060546875|26.100000381469727|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-29|HPG|26.450000762939453|26.600000381469727|25.350000381469727|25.350000381469727|82604800.0|25.27500009536743|22.985416634877524|56.316925782877135|-0.037950663587209554|-1.0|26.100000381469727|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-28|HPG|26.100000381469727|26.850000381469727|26.0|26.350000381469727|99592800.0|25.14000005722046|22.916388861338298|73.10644331690824|0.011516359047810454|0.3000011444091797|26.100000381469727|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-25|HPG|26.0|26.299999237060547|25.899999618530273|26.049999237060547|51078400.0|24.957500076293947|22.834166622161867|70.67065300653708|0.0019230475792517687|0.049999237060546875|26.399999618530273|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-24|HPG|26.399999618530273|26.450000762939453|25.899999618530273|26.0|51907400.0|24.797500133514404|22.754166634877524|70.25370654001877|-0.015151500920837613|-0.39999961853027344|26.399999618530273|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-23|HPG|26.549999237060547|26.950000762939453|26.399999618530273|26.399999618530273|43124000.0|24.637500095367432|22.67708330154419|78.54896425490026|-0.0018904023806017856|-0.05000114440917969|26.399999618530273|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-22|HPG|26.149999618530273|26.450000762939453|26.0|26.450000762939453|31504400.0|24.45083341598511|22.594027741750082|79.64048048126199|0.00954198445496357|0.25|26.399999618530273|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-21|HPG|26.399999618530273|27.0|26.100000381469727|26.200000762939453|55773600.0|24.253333377838135|22.508749961853027|78.23638670298826|0.011583055939295983|0.3000011444091797|26.399999618530273|22.75|22.75|22.25|24.75575|24.0625|23.36925|23.4665|22.375|21.2835|23.4665|22.375|21.2835|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-18|HPG|26.0|26.100000381469727|25.75|25.899999618530273|40723400.0|24.062083339691164|22.426944382985432|76.42469574814372|-0.0038461685180664062|-0.10000038146972656|26.200000762939453|22.75|22.75|22.25|24.415850471496583|23.787500381469727|23.15915029144287|23.12660047149658|22.100000381469727|21.073400291442873|23.12660047149658|22.100000381469727|21.073400291442873|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-17|HPG|26.200000762939453|26.350000381469727|25.899999618530273|26.0|56229600.0|23.892083358764648|22.34319438934326|78.4459345106765|-0.003831432184220329|-0.10000038146972656|26.200000762939453|22.75|22.75|22.25|24.415850471496583|23.787500381469727|23.15915029144287|23.12660047149658|22.100000381469727|21.073400291442873|23.12660047149658|22.100000381469727|21.073400291442873|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-16|HPG|25.450000762939453|26.200000762939453|25.399999618530273|26.100000381469727|45893600.0|23.71291666030884|22.256388823191326|80.42094025439157|0.023529426724302915|0.6000003814697266|26.200000762939453|22.75|22.75|22.25|24.415850471496583|23.787500381469727|23.15915029144287|23.12660047149658|22.100000381469727|21.073400291442873|23.12660047149658|22.100000381469727|21.073400291442873|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-15|HPG|25.799999237060547|26.0|25.5|25.5|46507000.0|23.53916664123535|22.1748610496521|77.22651608633814|-0.009708737864077666|-0.25|26.200000762939453|22.75|22.75|22.25|24.415850471496583|23.787500381469727|23.15915029144287|23.12660047149658|22.100000381469727|21.073400291442873|23.12660047149658|22.100000381469727|21.073400291442873|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-14|HPG|26.200000762939453|26.450000762939453|25.549999237060547|25.75|49438500.0|23.38291664123535|22.104027716318765|82.42994416002891|-0.009615384615384581|-0.25|26.200000762939453|22.75|22.75|22.25|24.415850471496583|23.787500381469727|23.15915029144287|23.12660047149658|22.100000381469727|21.073400291442873|23.12660047149658|22.100000381469727|21.073400291442873|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-11|HPG|25.25|26.25|25.049999237060547|26.0|65285300.0|23.20999994277954|22.029027716318765|87.9314646733978|0.033797232380212705|0.8500003814697266|23.700000762939453|22.75|22.75|22.25|24.29225|23.6875|23.08275|23.003|22.0|20.997|23.003|22.0|20.997|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-10|HPG|24.850000381469727|25.200000762939453|24.549999237060547|25.149999618530273|85282304.0|23.00999994277954|21.95472215016683|84.70956511599232|0.01616160074869799|0.39999961853027344|23.700000762939453|22.75|22.75|22.25|23.643350471496582|23.162500381469727|22.68165029144287|22.354100471496583|21.475000381469727|20.59590029144287|22.354100471496583|21.475000381469727|20.59590029144287|23.149999618530273|21.125|23.149999618530273|17.75
2025-07-09|HPG|24.799999237060547|25.100000381469727|24.600000381469727|24.75|43462900.0|22.86916666030884|21.887638823191324|82.69025050766444|0.0020242605472129416|0.049999237060546875|23.700000762939453|22.75|22.75|22.25|23.581550235748292|23.112500190734863|22.643450145721435|22.292300235748293|21.425000190734863|20.557700145721434|22.292300235748293|21.425000190734863|20.557700145721434|23.149999618530273|21.125|23.149999618530273|17.75
