ticker,industry,name,period,unit,value
HCM,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,491049.42
SHS,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,641327.04
MBS,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,262444.42
FTS,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,311087.24
BSI,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,112267.43
CTS,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,127533.21
VDS,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,73259.65
ORS,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,108353.71
BVS,Dịch vụ tài chính,Giá trị trung bình 1 tháng,2025-07-29,Triệu VND,48249.27
VIX,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,1531429.86
VND,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,1522299.91
VCI,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,722600.0
HCM,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,1079956.67
SHS,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,894462.22
MBS,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,572782.94
FTS,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,346498.01
BSI,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,245365.94
CTS,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,212693.44
VDS,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,267300.0
ORS,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,335999.74
BVS,Dịch vụ tài chính,Số CP lưu hành hiện thời,2025-07-29,Nghìn cổ phiếu,72200.14
VIX,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,1454858.36
VND,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,1141724.93
VCI,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,433560.0
HCM,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,539978.34
SHS,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,805016.0
MBS,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,114556.59
FTS,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,190573.9
BSI,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,34351.23
CTS,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,53173.36
VDS,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,106920.0
ORS,Dịch vụ tài chính,Free Float,2025-07-29,Nghìn cổ phiếu,285599.78
