ticker,industry,name,period,unit,value,group
FTS,Dịch vụ tài chính,ROA,Q2-2025,%,0.0449,Hiệu quả
BSI,Dịch vụ tài chính,ROA,Q2-2025,%,0.0283,Hiệu quả
CTS,Dịch vụ tài chính,ROA,Q2-2025,%,0.0411,Hiệu quả
VDS,Dịch vụ tài chính,ROA,Q2-2025,%,0.009,Hiệu quả
ORS,Dịch vụ tài chính,ROA,Q2-2025,%,0.0079,Hiệu quả
BVS,Dịch vụ tài chính,ROA,Q2-2025,%,0.0382,Hiệu quả
VIX,Dịch vụ tài chính,ROA,Q1-2025,%,0.0506,Hiệu quả
VND,Dịch vụ tài chính,ROA,Q1-2025,%,0.0325,Hiệu quả
VCI,Dịch vụ tài chính,ROA,Q1-2025,%,0.043,Hiệu quả
HCM,Dịch vụ tài chính,ROA,Q1-2025,%,0.0324,Hiệu quả
MBS,Dịch vụ tài chính,ROA,Q1-2025,%,0.0406,Hiệu quả
SHS,Dịch vụ tài chính,ROA,Q1-2025,%,0.0677,Hiệu quả
FTS,Dịch vụ tài chính,ROA,Q1-2025,%,0.0579,Hiệu quả
BSI,Dịch vụ tài chính,ROA,Q1-2025,%,0.0327,Hiệu quả
CTS,Dịch vụ tài chính,ROA,Q1-2025,%,0.0267,Hiệu quả
VDS,Dịch vụ tài chính,ROA,Q1-2025,%,0.0302,Hiệu quả
ORS,Dịch vụ tài chính,ROA,Q1-2025,%,0.0264,Hiệu quả
BVS,Dịch vụ tài chính,ROA,Q1-2025,%,0.0333,Hiệu quả
VIX,Dịch vụ tài chính,ROA,Q4-2024,%,0.0462,Hiệu quả
VND,Dịch vụ tài chính,ROA,Q4-2024,%,0.0399,Hiệu quả
VCI,Dịch vụ tài chính,ROA,Q4-2024,%,0.0415,Hiệu quả
HCM,Dịch vụ tài chính,ROA,Q4-2024,%,0.0422,Hiệu quả
MBS,Dịch vụ tài chính,ROA,Q4-2024,%,0.0397,Hiệu quả
SHS,Dịch vụ tài chính,ROA,Q4-2024,%,0.0797,Hiệu quả
FTS,Dịch vụ tài chính,ROA,Q4-2024,%,0.0631,Hiệu quả
BSI,Dịch vụ tài chính,ROA,Q4-2024,%,0.0443,Hiệu quả
CTS,Dịch vụ tài chính,ROA,Q4-2024,%,0.0269,Hiệu quả
VDS,Dịch vụ tài chính,ROA,Q4-2024,%,0.0495,Hiệu quả
ORS,Dịch vụ tài chính,ROA,Q4-2024,%,0.0418,Hiệu quả
BVS,Dịch vụ tài chính,ROA,Q4-2024,%,0.0343,Hiệu quả
VIX,Dịch vụ tài chính,ROA,Q3-2024,%,0.0616,Hiệu quả
VND,Dịch vụ tài chính,ROA,Q3-2024,%,0.0533,Hiệu quả
VCI,Dịch vụ tài chính,ROA,Q3-2024,%,0.0406,Hiệu quả
HCM,Dịch vụ tài chính,ROA,Q3-2024,%,0.0402,Hiệu quả
MBS,Dịch vụ tài chính,ROA,Q3-2024,%,0.0436,Hiệu quả
SHS,Dịch vụ tài chính,ROA,Q3-2024,%,0.0789,Hiệu quả
FTS,Dịch vụ tài chính,ROA,Q3-2024,%,0.0526,Hiệu quả
BSI,Dịch vụ tài chính,ROA,Q3-2024,%,0.0393,Hiệu quả
CTS,Dịch vụ tài chính,ROA,Q3-2024,%,0.0251,Hiệu quả
VDS,Dịch vụ tài chính,ROA,Q3-2024,%,0.068,Hiệu quả
ORS,Dịch vụ tài chính,ROA,Q3-2024,%,0.0381,Hiệu quả
BVS,Dịch vụ tài chính,ROA,Q3-2024,%,0.0321,Hiệu quả
VIX,Dịch vụ tài chính,ROA,Q2-2024,%,0.0698,Hiệu quả
VND,Dịch vụ tài chính,ROA,Q2-2024,%,0.057,Hiệu quả
VCI,Dịch vụ tài chính,ROA,Q2-2024,%,0.0406,Hiệu quả
