ticker,industry,name,period,unit,value,group
VDS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,5796.51,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,11342.4,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản ngắn hạn,Q3-2024,Tỷ VND,4275.28,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,10559.45,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,43844.9,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,23009.92,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,27574.48,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,17302.62,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,12194.52,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,8921.84,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,9571.84,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,7835.97,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,5707.28,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,9784.56,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản ngắn hạn,Q2-2024,Tỷ VND,5991.8,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1053.87,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1586.94,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,472.28,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1309.54,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1951.37,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,791.0,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1277.27,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,393.39,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,482.47,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,1289.35,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,485.47,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2025,Tỷ VND,140.87,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,487.05,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,977.37,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,2302.26,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,1591.07,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,1598.36,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,660.0,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,810.0,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,301.27,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,191.74,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,663.75,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,993.97,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tiền & tương đương tiền,Q1-2025,Tỷ VND,13.92,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,693.53,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,881.18,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,4743.77,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,2023.95,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,1773.54,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,680.76,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,565.56,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,284.43,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,300.23,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,1207.14,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,533.86,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tiền & tương đương tiền,Q4-2024,Tỷ VND,167.85,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,4152.91,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,456.56,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,2543.52,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,2241.58,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,1579.77,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,440.47,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,470.02,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,281.79,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,192.44,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,464.13,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,2268.98,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tiền & tương đương tiền,Q3-2024,Tỷ VND,4.57,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,571.17,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,3107.21,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,3903.16,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,2584.34,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,721.76,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,2137.34,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,742.49,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,907.82,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,271.76,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,668.31,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,2242.35,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tiền & tương đương tiền,Q2-2024,Tỷ VND,792.83,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,45.43,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,2688.84,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,120.44,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,160.51,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,242.61,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,92.08,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,177.07,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,395.08,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,97.91,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,1109.71,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,48.08,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản dài hạn,Q2-2025,Tỷ VND,562.68,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,46.82,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,3075.34,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,106.65,CĐKT - Tài sản
HCM,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,163.66,CĐKT - Tài sản
MBS,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,252.47,CĐKT - Tài sản
SHS,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,91.33,CĐKT - Tài sản
FTS,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,182.03,CĐKT - Tài sản
BSI,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,581.67,CĐKT - Tài sản
CTS,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,95.75,CĐKT - Tài sản
VDS,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,258.56,CĐKT - Tài sản
ORS,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,46.67,CĐKT - Tài sản
BVS,Dịch vụ tài chính,Tài sản dài hạn,Q1-2025,Tỷ VND,555.99,CĐKT - Tài sản
VIX,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,48.17,CĐKT - Tài sản
VND,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,1189.16,CĐKT - Tài sản
VCI,Dịch vụ tài chính,Tài sản dài hạn,Q4-2024,Tỷ VND,100.29,CĐKT - Tài sản
